av_id;area_pq_m2;veg13;veg9;veg2;veg3;veg5;veg1;av_id.N.10.0;riqueza;area_veg;shannon;n_classes;cob_vegetacao;areapa_scale;cob_scale;area_pq_km2
63;191885,3485;41091,58183;0;0;0;0;0;63;59;41091,58183;0;1;21,41465315;0,31339841;0,481105754;191,8853485
64;15289,22217;11742,83937;0;0;0;0;0;64;13;11742,83937;0;1;76,8046879;-0,427887172;1,06829961;15,28922217
65;15303,98212;0;15299,3849;0;0;0;0;65;26;15299,3849;0;1;99,96996063;-0,427825216;1,553463589;15,30398212
66;30465,65781;29214,82446;0;0;0;0;0;66;27;29214,82446;0;1;95,89428412;-0,364182078;1,366757865;30,46565781
67;9411,99703;1567,32785;0;0;0;0;0;67;56;1567,32785;0;1;16,65244735;-0,452557602;0,420343531;9,41199703
68;110164,7381;39,90979;0;8808,33202;0;0;1751,16622;68;129;10599,40803;0,472309359;3;9,621416263;-0,029634654;0,315386655;110,1647381
70;276225,9838;26156,39295;0;0;0;0;0;70;274;26156,39295;0;1;9,469200756;0,667429374;0,312796525;276,2259838
71;66860,61946;66594,79168;0;0;0;0;0;71;37;66594,79168;0;1;99,60241502;-0,211409416;1,507700129;66,86061946
73;303953,8969;267209,8034;0;0;0;0;0;73;61;267209,8034;0;1;87,91129382;0,783820954;1,215692019;303,9538969
74;98279,13204;93223,93071;0;0;0;0;0;74;108;93223,93071;0;1;94,85628208;-0,079526056;1,342007928;98,27913204
75;110111,3564;47787,39563;0;0;0;0;0;75;54;47787,39563;0;1;43,39915264;-0,029858731;0,719196432;110,1113564
76;47727,6388;7244,91868;0;0;0;0;0;76;124;7244,91868;0;1;15,17971319;-0,291722631;0,400209737;47,7276388
77;5377,48554;4890,76059;0;0;0;0;0;77;18;4890,76059;0;1;90,94883759;-0,469492997;1,265210934;5,37748554
78;89511,94167;3845,51344;78477,85369;0;0;0;0;78;81;82323,36713;0,188718575;2;91,96914467;-0,116327497;1,283471603;89,51194167
79;80266,30542;52066,43553;0;0;0;0;0;79;39;52066,43553;0;1;64,86711361;-0,155137277;0,93635207;80,26630542
80;29382,43801;29110,5338;0;0;0;0;0;80;28;29110,5338;0;1;99,07460297;-0,368729036;1,474449778;29,38243801
81;177082,9843;65931,55737;66310,28824;0;0;0;0;81;75;132241,8456;0,69314308;2;74,6778953;0,251263529;1,043486125;177,0829843
82;33170,47058;18739,02514;0;0;0;0;0;82;39;18739,02514;0;1;56,49309405;-0,352828269;0,850513003;33,17047058
83;117629,6916;7577,27908;0;53709,30777;46169,18325;0;0;83;108;107455,7701;0,896588412;3;91,35088994;0,001700475;1,272289187;117,6296916
84;24781,72143;178,81087;0;0;0;0;0;84;17;178,81087;0;1;0,721543378;-0,388041152;0,085046194;24,78172143
85;31001,21363;3977,37873;0;0;0;0;0;85;42;3977,37873;0;1;12,82975169;-0,361934012;0,366324714;31,00121363
86;54405,61903;2718,08375;0;0;0;0;0;86;19;2718,08375;0;1;4,995961444;-0,263690926;0,225420737;54,40561903
87;36833,33277;28358,81519;0;0;0;0;0;87;25;28358,81519;0;1;76,99225961;-0,337452921;1,070524758;36,83333277
88;25401,03557;20710,36495;0;0;0;0;0;88;16;20710,36495;0;1;81,53354572;-0,385441499;1,12660688;25,40103557
89;135803,726;4141,93418;124749,0938;0;0;0;0;89;77;128891,028;0,142087613;2;94,90978767;0,077988386;1,343222071;135,803726
90;76280,22821;1193,72868;65578,90019;0;0;0;0;90;35;66772,62887;0,089659653;2;87,53595845;-0,171869363;1,209973179;76,28022821
91;31390,91746;13940,63376;0;0;0;0;0;91;83;13940,63376;0;1;44,40976846;-0,360298178;0,729378722;31,39091746
93;272376,9302;2868,51921;0;0;0;0;0;93;20;2868,51921;0;1;1,053143233;0,651272463;0,102803754;272,3769302
95;23722,85935;22011,25334;0;0;0;0;0;95;32;22011,25334;0;1;92,7849928;-0,392485866;1,298849054;23,72285935
96;2592,53975;21596,38861;0;0;0;0;0;96;25;21596,38861;0;1;100;-0,481183175;1,570796327;2,59253975
98;20728,50351;38275,37101;0;0;0;0;0;98;82;38275,37101;0;1;100;-0,40505507;1,570796327;20,72850351
99;50223,08789;30576,51778;0;0;0;0;0;99;91;30576,51778;0;1;60,88139751;-0,281247654;0,895089918;50,22308789
101;38843,50609;31267,44163;0;0;0;0;0;101;60;31267,44163;0;1;80,49593041;-0,329014952;1,113377103;38,84350609
102;18733,26475;198,29895;36264,99425;0;0;0;0;102;87;36463,2932;0,033780441;2;100;-0,413430349;1,570796327;18,73326475
103;134844,6908;156438,9308;0;0;0;0;0;103;54;156438,9308;0;1;100;0,07396271;1,570796327;134,8446908
104;88590,8798;27113,43881;0;0;0;0;0;104;76;27113,43881;0;1;30,60522581;-0,120193776;0,586224562;88,5908798
105;627568,0322;46005,76217;173861,7552;0;127154,5528;0;0;105;46;347022,0701;0,982018889;3;55,29632682;2,142234061;0,83846098;627,5680322
106;106442,4856;17394,03313;82540,35905;0;0;0;0;106;73;99934,39218;0,462257288;2;93,88581223;-0,045259301;1,320935782;106,4424856
107;6476,54386;0;0;0;0;0;0;107;10;0;0;0;0;-0,464879554;0;6,47654386
115;63642,3684;29218,47329;192519,7299;672975,9236;290582,9186;0;0;115;199;1185297,045;1,052527936;4;100;-0,22491845;1,570796327;63,6423684
116;804467,249;186878,8555;28493,32772;1898733,307;1467849,298;0;0;116;156;3581954,788;0,894561464;4;100;2,884791906;1,570796327;804,467249
117;21053,30138;235379,9416;273107,2462;2635984,251;443422,7986;14744,95862;63419,55385;117;160;3666058,75;0,954796668;6;100;-0,403691688;1,570796327;21,05330138
118;17760,35868;238957,8601;47344,67498;2020092,031;389678,7737;80080,79295;219837,4886;118;159;2995991,621;1,086765994;6;100;-0,41751425;1,570796327;17,76035868
119;24852,55778;0;24379,69975;0;0;0;0;119;13;24379,69975;0;1;98,09734662;-0,387743807;1,432418427;24,85255778
120;510125,1107;1230,76652;173910,8645;0;240296,8398;0;0;120;249;415438,4708;0,69843813;3;81,43854559;1,649251875;1,125383945;510,1251107
121;27375,55842;165305,3925;2577,33592;1378180,567;624510,4974;329,15756;301936,2996;121;185;2472839,25;1,119318331;6;100;-0,377153179;1,570796327;27,37555842
215;18109,82479;14803,4906;0;0;0;0;0;215;15;14803,4906;0;1;81,74287036;-0,41604732;1,129310139;18,10982479
